I,J,Total,City
11,27,183,"LOS ANGELES, CA"
13,29,182,"SAN DIEGO, CA"
9,26,166,"OXNARD, CA"
10,26,156,"SIMI VALLEY, CA"
4,20,153,"SAN FRANCISCO, CA"
8,26,152,"SANTA BARBARA, CA"
11,26,150,"LOS ANGELES, CA"
13,28,150,"SAN DIEGO, CA"
4,21,147,"SAN JOSE, CA"
14,29,137,"SE OF SAN DIEGO, CA"
8,25,131,"SOLVANG, CA"
5,22,131,"SALINAS, CA"
5,21,130,"SAN JOSE, CA"
3,20,129,"SAN FRANCISCO, CA"
7,25,129,"SANTA MARIA, CA"
4,22,128,"MONTEREY, CA"
9,25,127,"NEW CUYAMA, CA"
12,27,125,"ANAHEIM, CA"
5,20,118,"SAN JOSE, CA"
6,22,112,"SALINAS, CA"
62,35,109,"BOOTHVILLE, LA"
61,35,108,"BURAS, LA"
60,35,108,"CHAUVIN, LA"
7,24,106,"SAN LUIS OBISPO, CA"
74,38,102,"SARASOTA, FL"
59,35,100,"HOUMA, LA"
6,24,98,"ATASCADERO, CA"
76,41,97,"NAPLES, FL"
48,37,97,"CORPUS CHRISTI, TX"
64,33,96,"MOBILE, AL"
73,37,96,"SAINT PETERSBURG, FL"
86,23,96,"KILL DEVIL HILLS, NC"
73,38,95,"SAINT PETERSBURG, FL"
4,19,95,"VALLEJO, CA"
52,35,95,"GALVESTON, TX"
74,39,95,"PORT CHARLOTTE, FL"
75,21,94,"MARION, VA"
6,23,94,"KING CITY, CA"
73,36,94,"PORT RICHEY, FL"
75,39,94,"CAPE CORAL, FL"
76,34,94,"JACKSONVILLE, FL"
76,22,93,"WEST JEFFERSON, NC"
3,19,93,"SANTA ROSA, CA"
53,34,92,"BEAUMONT, TX"
77,36,92,"ORLANDO, FL"
77,35,91,"DAYTONA BEACH, FL"
76,40,91,"NAPLES, FL"
85,18,91,"EASTON, MD"
69,34,90,"PORT SAINT JOE, FL"
15,29,90,"EL CENTRO, CA"
82,27,90,"WILMINGTON, NC"
54,34,90,"PORT ARTHUR, TX"
74,36,90,"BROOKSVILLE, FL"
75,38,90,"ARCADIA, FL"
75,41,90,"NAPLES, FL"
76,36,90,"ORLANDO, FL"
48,38,90,"CORPUS CHRISTI, TX"
80,28,89,"GEORGETOWN, SC"
74,22,89,"KINGSPORT, TN"
81,27,89,"SOUTHPORT, NC"
76,35,89,"DAYTONA BEACH, FL"
59,34,89,"HOUMA, LA"
76,21,88,"PRINCETON, WV"
13,27,88,"MORENO VALLEY, CA"
78,29,88,"CHARLESTON, SC"
77,22,88,"MOUNT AIRY, NC"
76,33,88,"JACKSONVILLE, FL"
75,37,88,"LAKELAND, FL"
76,39,87,"LABELLE, FL"
75,40,87,"NAPLES, FL"
75,34,87,"JACKSONVILLE, FL"
77,37,87,"MELBOURNE, FL"
75,22,86,"ABINGDON, VA"
65,33,86,"PENSACOLA, FL"
8,24,86,"NE OF SANTA MARIA, CA"
74,21,85,"BIG STONE GAP, VA"
69,33,85,"PANAMA CITY, FL"
6,21,85,"LOS BANOS, CA"
53,33,85,"BEAUMONT, TX"
79,29,85,"JOHNS ISLAND, SC"
55,34,85,"HACKBERRY, LA"
76,32,84,"JEKYLL ISLAND, GA"
85,23,84,"HERTFORD, NC"
85,20,84,"HEATHSVILLE, VA"
80,27,84,"MYRTLE BEACH, SC"
78,28,84,"CHARLESTON, SC"
59,33,84,"BATON ROUGE, LA"
62,33,83,"GULFPORT, MS"
58,34,83,"NEW IBERIA, LA"
70,34,83,"CARRABELLE, FL"
76,37,83,"KISSIMMEE, FL"
4,2,83,"SEATTLE, WA"
63,33,83,"OCEAN SPRINGS, MS"
75,32,82,"YULEE, FL"
60,34,82,"NEW ORLEANS, LA"
55,33,82,"LAKE CHARLES, LA"
74,37,82,"TAMPA, FL"
64,32,82,"MOBILE, AL"
73,13,82,"SANDUSKY, OH"
75,36,82,"KISSIMMEE, FL"
57,34,81,"NEW IBERIA, LA"
73,35,81,"CHIEFLAND, FL"
73,22,81,"ROGERSVILLE, TN"
77,29,81,"BEAUFORT, SC"
7,23,81,"PASO ROBLES, CA"
85,17,81,"BEL AIR, MD"
76,38,81,"SEBRING, FL"
84,23,81,"EDENTON, NC"
68,33,81,"PANAMA CITY, FL"
52,34,81,"HOUSTON, TX"
71,25,80,"BLAIRSVILLE, GA"
92,14,80,"GROTON, CT"
66,33,80,"PENSACOLA, FL"
61,34,80,"NEW ORLEANS, LA"
75,35,80,"OCALA, FL"
56,34,80,"SW OF LAFAYETTE, LA"
76,31,80,"BRUNSWICK, GA"
10,25,79,"BAKERSFIELD, CA"
77,30,79,"HILTON HEAD ISLAND, SC"
85,24,79,"ENGELHARD, NC"
84,22,79,"SUFFOLK, VA"
74,35,79,"OCALA, FL"
78,21,78,"ROANOKE, VA"
18,29,78,"YUMA, AZ"
14,28,78,"EAST OF SAN DIEGO, CA"
76,23,78,"HICKORY, NC"
77,38,78,"VERO BEACH, FL"
17,29,78,"YUMA, AZ"
73,34,78,"TRENTON, FL"
66,12,78,"NILES, MI"
79,27,78,"GEORGETOWN, SC"
86,24,78,"BUXTON, NC"
93,13,77,"PROVIDENCE, RI"
94,13,77,"NEW BEDFORD, MA"
75,23,77,"MORGANTON, NC"
57,33,77,"LAFAYETTE, LA"
79,28,77,"MOUNT PLEASANT, SC"
77,21,77,"RADFORD, VA"
76,30,77,"SAVANNAH, GA"
73,9,76,"BAD AXE, MI"
67,33,76,"FORT WALTON BEACH, FL"
74,9,76,"FORESTVILLE, MI"
74,20,76,"PIKEVILLE, KY"
93,14,76,"WESTERLY, RI"
49,26,76,"MADILL, OK"
75,31,76,"JESUP, GA"
62,32,76,"SAUCIER, MS"
50,36,76,"BLESSING, TX"
48,39,76,"SOUTH OF CORPUS CHRISTI, TX"
78,24,76,"SALISBURY, NC"
65,32,76,"PENSACOLA, FL"
78,22,75,"MARTINSVILLE, VA"
51,27,75,"PARIS, TX"
51,36,75,"BAY CITY, TX"
77,23,75,"SALISBURY, NC"
19,29,75,"DATELAND, AZ"
68,9,75,"BALDWIN, MI"
48,36,75,"VICTORIA, TX"
48,26,75,"ARDMORE, OK"
75,33,75,"JACKSONVILLE, FL"
87,18,75,"MILLSBORO, DE"
78,38,75,"PORT SAINT LUCIE, FL"
61,33,75,"NEW ORLEANS, LA"
67,9,75,"LUDINGTON, MI"
74,34,75,"GAINESVILLE, FL"
71,33,75,"TALLAHASSEE, FL"
58,33,74,"NEW IBERIA, LA"
54,9,74,"MANKATO, MN"
60,33,74,"METAIRIE, LA"
75,20,74,"LOGAN, WV"
65,13,74,"CHICAGO, IL"
4,1,74,"MOUNT VERNON, WA"
74,31,74,"WAYCROSS, GA"
4,3,74,"TACOMA, WA"
77,39,74,"WEST PALM BEACH, FL"
77,20,74,"LEWISBURG, WV"
67,8,74,"MANISTEE, MI"
84,20,73,"GLOUCESTER, VA"
54,33,73,"ORANGE, TX"
80,26,73,"LORIS, SC"
79,12,73,"JAMESTOWN, NY"
56,33,73,"CROWLEY, LA"
80,11,73,"BUFFALO, NY"
5,1,73,"CONCRETE, WA"
80,10,73,"NIAGARA FALLS, NY"
74,30,73,"VIDALIA, GA"
49,36,73,"PORT LAVACA, TX"
6,20,73,"STOCKTON, CA"
81,26,73,"WHITEVILLE, NC"
76,20,73,"BECKLEY, WV"
89,16,73,"LAKEWOOD, NJ"
76,29,73,"RINCON, GA"
51,7,72,"MONTEVIDEO, MN"
73,21,72,"HAZARD, KY"
50,27,72,"DURANT, OK"
96,13,72,"HYANNIS, MA"
91,14,72,"NEW HAVEN, CT"
5,19,72,"SACRAMENTO, CA"
55,9,72,"OWATONNA, MN"
85,19,72,"LEXINGTON PARK, MD"
56,9,72,"ROCHESTER, MN"
83,23,72,"WILLIAMSTON, NC"
59,32,72,"BATON ROUGE, LA"
12,26,72,"NE OF LOS ANGELES, CA"
78,20,72,"COVINGTON, VA"
77,43,72,"LONG KEY, FL"
77,42,72,"KEY LARGO, FL"
68,5,72,"MC MILLAN, MI"
68,6,72,"BEAVER ISLAND, MI"
17,28,72,"WINTERHAVEN, CA"
70,4,72,"ECKERMAN, MI"
51,28,71,"SULPHUR SPRINGS, TX"
3,0,71,"BELLINGHAM, WA"
52,29,71,"LONGVIEW, TX"
50,28,71,"GREENVILLE, TX"
72,21,71,"MANCHESTER, KY"
52,28,71,"MOUNT PLEASANT, TX"
82,26,71,"WILMINGTON, NC"
66,7,71,"SISTER BAY, WI"
51,29,71,"TYLER, TX"
71,5,71,"KINCHELOE, MI"
49,27,71,"SHERMAN, TX"
78,39,71,"WEST PALM BEACH, FL"
77,19,71,"SUMMERSVILLE, WV"
55,32,71,"LEESVILLE, LA"
78,23,71,"WINSTON SALEM, NC"
78,12,70,"ERIE, PA"
6,16,70,"QUINCY, CA"
49,35,70,"EDNA, TX"
90,15,70,"BAY SHORE, NY"
78,41,70,"MIAMI, FL"
67,10,70,"MUSKEGON, MI"
18,28,70,"NORTH OF YUMA, AZ"
51,30,70,"TYLER, TX"
63,32,70,"LUCEDALE, MS"
64,14,70,"KANKAKEE, IL"
56,14,70,"OTTUMWA, IA"
85,22,70,"VIRGINIA BEACH, VA"
66,13,70,"VALPARAISO, IN"
63,31,70,"WAYNESBORO, MS"
63,19,70,"MOUNT VERNON, IL"
69,4,70,"PARADISE, MI"
71,26,70,"ATLANTA, GA"
50,35,70,"BAY CITY, TX"
78,19,70,"MARLINTON, WV"
5,2,70,"EVERETT, WA"
50,26,70,"DURANT, OK"
5,3,70,"SEATTLE, WA"
65,7,69,"STURGEON BAY, WI"
65,14,69,"LOWELL, IN"
90,14,69,"STAMFORD, CT"
73,10,69,"NORTH BRANCH, MI"
74,33,69,"LAKE CITY, FL"
73,20,69,"SALYERSVILLE, KY"
74,11,69,"PORT HURON, MI"
82,24,69,"GOLDSBORO, NC"
48,32,69,"TEMPLE, TX"
70,33,69,"TALLAHASSEE, FL"
48,25,69,"LEXINGTON, OK"
63,11,69,"WHITEWATER, WI"
17,27,69,"BLYTHE, CA"
3,1,69,"OAK HARBOR, WA"
75,43,69,"WEST OF KEY WEST, FL"
50,29,69,"TERRELL, TX"
16,29,69,"HEBER, CA"
80,12,69,"GOWANDA, NY"
54,10,69,"FOREST CITY, IA"
71,31,69,"ALBANY, GA"
73,32,69,"VALDOSTA, GA"
79,20,69,"ROANOKE, VA"
74,10,69,"FORT GRATIOT, MI"
96,14,69,"NANTUCKET, MA"
95,11,69,"GLOUCESTER, MA"
76,43,69,"KEY WEST, FL"
4,18,69,"WEST SACRAMENTO, CA"
16,25,68,"NEEDLES, CA"
80,19,68,"HARRISONBURG, VA"
52,13,68,"ATLANTIC, IA"
48,27,68,"GAINESVILLE, TX"
68,28,68,"ALEXANDER CITY, AL"
54,32,68,"JASPER, TX"
50,7,68,"CANBY, MN"
68,8,68,"TRAVERSE CITY, MI"
68,7,68,"TRAVERSE CITY, MI"
58,15,68,"FORT MADISON, IA"
64,10,68,"MILWAUKEE, WI"
77,41,68,"MIAMI, FL"
52,8,68,"SLEEPY EYE, MN"
68,4,68,"GRAND MARAIS, MI"
50,5,68,"ELBOW LAKE, MN"
51,5,68,"FERGUS FALLS, MN"
52,6,68,"SAINT CLOUD, MN"
78,18,68,"BUCKHANNON, WV"
83,22,68,"EMPORIA, VA"
55,10,68,"MASON CITY, IA"
63,18,68,"FLORA, IL"
78,40,68,"FORT LAUDERDALE, FL"
81,19,68,"CHARLOTTESVILLE, VA"
52,33,68,"CLEVELAND, TX"
53,22,68,"ROGERS, AR"
74,13,68,"LORAIN, OH"
1,5,68,"ASTORIA, OR"
53,9,68,"MANKATO, MN"
69,12,68,"BATTLE CREEK, MI"
69,13,68,"COLDWATER, MI"
76,13,68,"CLEVELAND, OH"
72,9,68,"SEBEWAING, MI"
84,25,68,"NEWPORT, NC"
73,33,68,"LAKE CITY, FL"
50,8,68,"MARSHALL, MN"
84,24,68,"WASHINGTON, NC"
86,18,68,"RIDGELY, MD"
72,34,68,"PERRY, FL"
86,20,68,"PARKSLEY, VA"
74,32,68,"WAYCROSS, GA"
83,24,67,"GREENVILLE, NC"
84,17,67,"BALTIMORE, MD"
59,15,67,"MACOMB, IL"
59,16,67,"QUINCY, IL"
56,6,67,"NORTH BRANCH, MN"
81,25,67,"CLINTON, NC"
81,24,67,"DUNN, NC"
48,35,67,"VICTORIA, TX"
85,21,67,"NORFOLK, VA"
54,15,67,"BETHANY, MO"
47,38,67,"KINGSVILLE, TX"
63,14,67,"OTTAWA, IL"
72,27,67,"ATHENS, GA"
79,13,67,"TITUSVILLE, PA"
53,8,67,"MANKATO, MN"
64,15,67,"RANTOUL, IL"
73,31,67,"DOUGLAS, GA"
89,15,67,"NEW YORK, NY"
52,27,67,"BROKEN BOW, OK"
52,14,67,"RED OAK, IA"
52,7,67,"WILLMAR, MN"
51,35,67,"PEARLAND, TX"
66,14,67,"DEMOTTE, IN"
67,6,67,"GARDEN, MI"
51,34,67,"HOUSTON, TX"
67,12,67,"BENTON HARBOR, MI"
47,32,67,"KILLEEN, TX"
51,6,67,"ALEXANDRIA, MN"
50,34,67,"SUGAR LAND, TX"
69,6,67,"NE OF TRAVERSE CITY, MI"
76,14,67,"AKRON, OH"
49,33,67,"BRENHAM, TX"
49,32,67,"BRYAN, TX"
75,30,67,"GLENNVILLE, GA"
70,12,67,"JACKSON, MI"
70,29,67,"COLUMBUS, GA"
49,25,67,"ADA, OK"
49,6,67,"ORTONVILLE, MN"
67,32,67,"CRESTVIEW, FL"
73,14,67,"FREMONT, OH"
72,7,67,"ALPENA, MI"
74,23,67,"JOHNSON CITY, TN"
72,25,67,"TOCCOA, GA"
57,9,67,"ROCHESTER, MN"
73,12,66,"DETROIT, MI"
9,24,66,"WEST OF BAKERSFIELD, CA"
72,32,66,"VALDOSTA, GA"
60,32,66,"FRANKLINTON, LA"
79,14,66,"KITTANNING, PA"
57,11,66,"WATERLOO, IA"
2,5,66,"LONGVIEW, WA"
80,20,66,"LYNCHBURG, VA"
57,15,66,"MEMPHIS, MO"
81,15,66,"ALTOONA, PA"
68,12,66,"KALAMAZOO, MI"
4,5,66,"AMBOY, WA"
82,25,66,"RICHLANDS, NC"
47,36,66,"BEEVILLE, TX"
66,32,66,"MILTON, FL"
2,19,66,"BODEGA BAY, CA"
50,25,66,"KREBS, OK"
50,6,66,"MORRIS, MN"
3,18,66,"WINDSOR, CA"
69,22,66,"LIVINGSTON, TN"
64,11,66,"MILWAUKEE, WI"
73,30,66,"FITZGERALD, GA"
96,12,66,"TRURO, MA"
72,31,66,"TIFTON, GA"
65,9,66,"MANITOWOC, WI"
67,11,66,"HOLLAND, MI"
79,18,66,"FRANKLIN, WV"
65,8,66,"TWO RIVERS, WI"
53,32,66,"WOODVILLE, TX"
73,28,66,"MILLEDGEVILLE, GA"
77,40,66,"FORT LAUDERDALE, FL"
58,16,66,"QUINCY, IL"
84,18,66,"WASHINGTON, DC"
92,13,66,"STORRS MANSFIELD, CT"
79,24,66,"PINEHURST, NC"
65,16,66,"DANVILLE, IL"
50,30,66,"ATHENS, TX"
64,31,66,"JACKSON, AL"
52,30,66,"HENDERSON, TX"
45,31,65,"SAN SABA, TX"
77,12,65,"EAST SPRINGFIELD, PA"
72,8,65,"TAWAS CITY, MI"
51,31,65,"CROCKETT, TX"
95,12,65,"BROCKTON, MA"
95,13,65,"PLYMOUTH, MA"
79,15,65,"GREENSBURG, PA"
52,3,65,"BEMIDJI, MN"
79,21,65,"FOREST, VA"
83,25,65,"JACKSONVILLE, NC"
54,8,65,"NEW PRAGUE, MN"
63,10,65,"WATERTOWN, WI"
16,28,65,"CALEXICO, CA"
80,17,65,"CUMBERLAND, MD"
3,2,65,"BREMERTON, WA"
62,19,65,"DU QUOIN, IL"
55,6,65,"CAMBRIDGE, MN"
62,18,65,"CENTRALIA, IL"
54,23,65,"SPRINGDALE, AR"
55,5,65,"MORA, MN"
69,28,65,"LAGRANGE, GA"
69,29,65,"COLUMBUS, GA"
50,1,65,"STRATHCONA, MN"
61,12,65,"FREEPORT, IL"
49,29,65,"DALLAS, TX"
83,26,65,"HOLLY RIDGE, NC"
70,11,65,"LANSING, MI"
57,16,65,"SHELBINA, MO"
57,7,65,"MENOMONIE, WI"
75,25,65,"SPARTANBURG, SC"
81,21,65,"FARMVILLE, VA"
55,14,65,"KNOXVILLE, IA"
75,13,65,"CLEVELAND, OH"
46,31,65,"LAMPASAS, TX"
18,27,65,"PARKER, AZ"
48,29,65,"FORT WORTH, TX"
84,21,65,"NEWPORT NEWS, VA"
73,11,65,"STERLING HEIGHTS, MI"
46,33,65,"SANDY, TX"
52,22,65,"GROVE, OK"
47,37,65,"CORPUS CHRISTI, TX"
90,13,65,"WATERBURY, CT"
0,12,65,"BROOKINGS, OR"
53,7,65,"HUTCHINSON, MN"
6,17,65,"GRASS VALLEY, CA"
53,10,64,"ALGONA, IA"
48,31,64,"WACO, TX"
69,5,64,"NEWBERRY, MI"
49,4,64,"FARGO, ND"
48,40,64,"LASARA, TX"
54,22,64,"BENTONVILLE, AR"
71,6,64,"ONAWAY, MI"
71,12,64,"ANN ARBOR, MI"
73,27,64,"GREENSBORO, GA"
56,7,64,"STILLWATER, MN"
66,6,64,"ESCANABA, MI"
78,15,64,"PITTSBURGH, PA"
54,11,64,"CLARION, IA"
56,15,64,"CENTERVILLE, IA"
78,25,64,"CHERAW, SC"
63,9,64,"OSHKOSH, WI"
84,19,64,"WALDORF, MD"
51,26,64,"HUGO, OK"
72,6,64,"ROGERS CITY, MI"
72,26,64,"ATHENS, GA"
52,31,64,"LUFKIN, TX"
53,6,64,"SAINT CLOUD, MN"
82,18,64,"ASHBURN, VA"
98,9,64,"CAMDEN, ME"
69,32,64,"MARIANNA, FL"
62,11,64,"MADISON, WI"
100,8,64,"MACHIAS, ME"
54,31,64,"MANY, LA"
85,16,64,"LANCASTER, PA"
1,4,64,"ABERDEEN, WA"
58,10,64,"WAUKON, IA"
0,11,64,"PORT ORFORD, OR"
58,14,64,"MOUNT PLEASANT, IA"
62,14,64,"METAMORA, IL"
79,19,64,"HOT SPRINGS, VA"
79,16,64,"MORGANTOWN, WV"
69,21,64,"CAMPBELLSVILLE, KY"
13,26,64,"SAN BERNARDINO, CA"
53,31,64,"LUFKIN, TX"
87,17,64,"VINELAND, NJ"
67,5,64,"MANISTIQUE, MI"
81,20,64,"PALMYRA, VA"
72,13,64,"TOLEDO, OH"
46,32,64,"MARBLE FALLS, TX"
45,32,64,"LLANO, TX"
53,11,64,"HUMBOLDT, IA"
47,31,63,"GATESVILLE, TX"
47,40,63,"BROWNSVILLE, TX"
47,41,63,"BROWNSVILLE, TX"
48,6,63,"SISSETON, SD"
4,4,63,"GRAHAM, WA"
89,14,63,"BRONX, NY"
86,19,63,"SALISBURY, MD"
85,8,63,"WELLESLEY ISLAND, NY"
84,10,63,"AUBURN, NY"
82,22,63,"ROANOKE RAPIDS, NC"
82,19,63,"FREDERICKSBURG, VA"
81,22,63,"OXFORD, NC"
81,18,63,"FRONT ROYAL, VA"
78,27,63,"SUMTER, SC"
78,26,63,"HARTSVILLE, SC"
0,14,63,"SAMOA, CA"
16,24,63,"NIPTON, CA"
17,23,63,"LAS VEGAS, NV"
74,29,63,"SWAINSBORO, GA"
74,14,63,"MANSFIELD, OH"
72,33,63,"MADISON, FL"
71,32,63,"TALLAHASSEE, FL"
71,24,63,"MARYVILLE, TN"
70,28,63,"NEWNAN, GA"
70,13,63,"HILLSDALE, MI"
69,30,63,"EUFAULA, AL"
65,31,63,"MONROEVILLE, AL"
65,12,63,"CHICAGO, IL"
65,11,63,"MILWAUKEE, WI"
64,18,63,"OLNEY, IL"
64,9,63,"SHEBOYGAN, WI"
64,8,63,"GREEN BAY, WI"
63,15,63,"BLOOMINGTON, IL"
63,13,63,"AURORA, IL"
62,10,63,"MADISON, WI"
61,20,63,"JACKSON, MO"
60,31,63,"BROOKHAVEN, MS"
1,7,63,"LINCOLN CITY, OR"
57,10,63,"DECORAH, IA"
57,8,63,"LAKE CITY, MN"
56,13,63,"GRINNELL, IA"
56,12,63,"TAMA, IA"
56,8,63,"RED WING, MN"
55,22,63,"HARRISON, AR"
55,8,63,"SAINT PAUL, MN"
53,27,63,"TEXARKANA, TX"
53,12,63,"FORT DODGE, IA"
52,26,63,"VALLIANT, OK"
52,12,63,"CARROLL, IA"
52,10,63,"SPENCER, IA"
52,9,63,"WINDOM, MN"
51,8,63,"REDWOOD FALLS, MN"
51,3,63,"BAGLEY, MN"
51,0,63,"WARROAD, MN"
49,34,63,"LA GRANGE, TX"
49,5,63,"WAHPETON, ND"
71,27,62,"ATLANTA, GA"
64,19,62,"MOUNT VERNON, IN"
78,14,62,"NEW CASTLE, PA"
65,6,62,"STEPHENSON, MI"
2,4,62,"ROCHESTER, WA"
77,28,62,"SUMMERVILLE, SC"
56,11,62,"CEDAR FALLS, IA"
50,2,62,"THIEF RIVER FALLS, MN"
72,12,62,"DETROIT, MI"
47,30,62,"CLIFTON, TX"
58,3,62,"TWO HARBORS, MN"
58,8,62,"EAU CLAIRE, WI"
58,11,62,"GUTTENBERG, IA"
58,12,62,"CEDAR RAPIDS, IA"
58,13,62,"IOWA CITY, IA"
82,23,62,"ROCKY MOUNT, NC"
82,21,62,"CHESTERFIELD, VA"
70,31,62,"WEST OF ALBANY, GA"
58,32,62,"SAINT FRANCISVILLE, LA"
46,40,62,"MCALLEN, TX"
48,30,62,"HILLSBORO, TX"
54,6,62,"ELK RIVER, MN"
54,13,62,"DES MOINES, IA"
71,21,62,"LONDON, KY"
54,4,62,"CROSBY, MN"
52,11,62,"STORM LAKE, IA"
47,26,62,"DUNCAN, OK"
59,31,62,"LIBERTY, MS"
60,6,62,"PHILLIPS, WI"
69,31,62,"DOTHAN, AL"
5,6,62,"HOOD RIVER, OR"
54,14,62,"INDIANOLA, IA"
56,10,62,"OSAGE, IA"
53,24,62,"FORT SMITH, AR"
0,15,62,"FERNDALE, CA"
81,16,62,"BEDFORD, PA"
53,23,62,"FAYETTEVILLE, AR"
61,11,62,"MADISON, WI"
69,16,62,"MUNCIE, IN"
22,27,62,"PHOENIX, AZ"
81,11,62,"BATAVIA, NY"
4,6,62,"PORTLAND, OR"
51,25,62,"MCALESTER, OK"
51,12,62,"DENISON, IA"
68,32,62,"CHIPLEY, FL"
53,21,62,"JOPLIN, MO"
62,17,62,"TAYLORVILLE, IL"
57,14,62,"FAIRFIELD, IA"
51,10,62,"MILFORD, IA"
51,4,62,"DETROIT LAKES, MN"
80,16,62,"SOMERSET, PA"
80,13,62,"WARREN, PA"
49,7,62,"MILBANK, SD"
67,26,62,"ALBERTVILLE, AL"
63,17,62,"EFFINGHAM, IL"
51,2,62,"GONVICK, MN"
63,20,62,"MARION, IL"
71,9,62,"MIDLAND, MI"
63,21,62,"PADUCAH, KY"
53,13,62,"PERRY, IA"
49,24,62,"SEMINOLE, OK"
3,3,62,"TACOMA, WA"
67,13,62,"SOUTH BEND, IN"
88,12,62,"SAUGERTIES, NY"
49,28,62,"DALLAS, TX"
73,26,61,"ANDERSON, SC"
68,13,61,"ELKHART, IN"
70,5,61,"SAULT SAINTE MARIE, MI"
52,5,61,"STAPLES, MN"
52,4,61,"PARK RAPIDS, MN"
1,10,61,"NORTH BEND, OR"
21,27,61,"PHOENIX, AZ"
73,24,61,"WAYNESVILLE, NC"
95,10,61,"BIDDEFORD, ME"
61,13,61,"STERLING, IL"
53,26,61,"MENA, AR"
63,16,61,"DECATUR, IL"
50,4,61,"PERHAM, MN"
48,7,61,"WATERTOWN, SD"
86,17,61,"WILMINGTON, DE"
2,6,61,"PORTLAND, OR"
49,30,61,"CORSICANA, TX"
55,15,61,"UNIONVILLE, MO"
65,20,61,"EVANSVILLE, IN"
3,5,61,"KELSO, WA"
49,31,61,"MEXIA, TX"
51,11,61,"CHEROKEE, IA"
58,7,61,"EAU CLAIRE, WI"
0,10,61,"COOS BAY, OR"
55,12,61,"AMES, IA"
72,17,61,"HILLSBORO, OH"
74,26,61,"GREENWOOD, SC"
72,23,61,"KNOXVILLE, TN"
58,22,61,"CHEROKEE VILLAGE, AR"
1,11,61,"MYRTLE POINT, OR"
47,33,61,"AUSTIN, TX"
89,13,61,"POUGHKEEPSIE, NY"
74,24,61,"ASHEVILLE, NC"
72,16,61,"SPRINGFIELD, OH"
49,8,60,"BROOKINGS, SD"
50,10,60,"SIOUX CENTER, IA"
72,10,60,"FLINT, MI"
62,12,60,"ROCKFORD, IL"
72,5,60,"DRUMMOND ISLAND, MI"
14,27,60,"MORENO VALLEY, CA"
52,23,60,"TAHLEQUAH, OK"
55,23,60,"JASPER, AR"
76,19,60,"CHARLESTON, WV"
53,4,60,"PEQUOT LAKES, MN"
46,30,60,"STEPHENVILLE, TX"
70,27,60,"ATLANTA, GA"
70,26,60,"MARIETTA, GA"
70,25,60,"DALTON, GA"
62,13,60,"DIXON, IL"
77,16,60,"WHEELING, WV"
82,17,60,"HAGERSTOWN, MD"
21,28,60,"WEST OF PHOENIX, AZ"
77,24,60,"CHARLOTTE, NC"
68,31,60,"ENTERPRISE, AL"
50,32,60,"COLLEGE STATION, TX"
68,17,60,"COLUMBUS, IN"
55,31,60,"ANACOCO, LA"
1,6,60,"TILLAMOOK, OR"
68,29,60,"TALLASSEE, AL"
64,7,60,"OCONTO, WI"
69,7,60,"TRAVERSE CITY, MI"
74,28,60,"LOUISVILLE, GA"
62,7,60,"ANTIGO, WI"
62,20,60,"CARBONDALE, IL"
55,11,60,"HAMPTON, IA"
75,29,60,"STATESBORO, GA"
44,33,60,"INGRAM, TX"
62,8,60,"WAUPACA, WI"
72,28,60,"MACON, GA"
68,11,60,"GRAND RAPIDS, MI"
68,10,60,"ROCKFORD, MI"
54,5,60,"ONAMIA, MN"
60,22,60,"POPLAR BLUFF, MO"
69,27,60,"CARROLLTON, GA"
88,15,60,"NEWARK, NJ"
59,14,60,"BURLINGTON, IA"
71,10,60,"SAGINAW, MI"
51,9,60,"WORTHINGTON, MN"
51,33,60,"SPRING, TX"
2,1,60,"FRIDAY HARBOR, WA"
53,14,60,"CRESTON, IA"
60,30,60,"JACKSON, MS"
81,17,60,"WINCHESTER, VA"
80,18,60,"BROADWAY, VA"
64,6,60,"KINGSFORD, MI"
63,7,60,"KESHENA, WI"
67,24,60,"SHELBYVILLE, TN"
63,8,60,"APPLETON, WI"
69,15,60,"MUNCIE, IN"
2,9,60,"EUGENE, OR"
50,31,60,"TEAGUE, TX"
48,33,60,"AUSTIN, TX"
4,7,60,"PORTLAND, OR"
1,3,60,"HOQUIAM, WA"
61,17,60,"LITCHFIELD, IL"
44,34,60,"LEAKEY, TX"
47,35,59,"KENEDY, TX"
55,21,59,"SPRINGFIELD, MO"
70,32,59,"HAVANA, FL"
23,27,59,"NE OF PHOENIX, AZ"
23,28,59,"PHOENIX, AZ"
72,29,59,"MACON, GA"
46,37,59,"ORANGE GROVE, TX"
75,28,59,"AUGUSTA, GA"
17,22,59,"LAS VEGAS, NV"
69,24,59,"CHATTANOOGA, TN"
73,23,59,"GREENEVILLE, TN"
73,19,59,"ASHLAND, KY"
20,27,59,"WEST OF PHOENIX, AZ"
16,23,59,"LAS VEGAS, NV"
68,27,59,"ANNISTON, AL"
68,16,59,"INDIANAPOLIS, IN"
68,15,59,"MARION, IN"
76,26,59,"COLUMBIA, SC"
49,10,59,"SIOUX FALLS, SD"
67,18,59,"BLOOMINGTON, IN"
15,25,59,"SAN BERNARDINO, CA"
45,30,59,"BROWNWOOD, TX"
66,19,59,"JASPER, IN"
